Id,Claim_Verification,Engagement_Score,Label,Type
CMT_0093,-1,0,CMT_0093,Comment
CMT_0094,-2,0,CMT_0094,Comment
CMT_0095,1,19,CMT_0095,Comment
CMT_0096,-2,53,CMT_0096,Comment
CMT_0097,0,2,CMT_0097,Comment
CMT_0098,-2,4,CMT_0098,Comment
CMT_0099,-2,0,CMT_0099,Comment
CMT_0100,-2,0,CMT_0100,Comment
CMT_0101,-1,0,CMT_0101,Comment
CMT_0102,-2,0,CMT_0102,Comment
CMT_0103,1,1,CMT_0103,Comment
CMT_0104,-1,0,CMT_0104,Comment
CMT_0105,-1,3,CMT_0105,Comment
CMT_0106,-2,3,CMT_0106,Comment
CMT_0107,-2,4,CMT_0107,Comment
CMT_0108,-1,0,CMT_0108,Comment
CMT_0109,-2,2,CMT_0109,Comment
CMT_0110,0,0,CMT_0110,Comment
CMT_0111,-2,4,CMT_0111,Comment
CMT_0112,-1,0,CMT_0112,Comment
CMT_0113,1,11,CMT_0113,Comment
CMT_0114,0,14,CMT_0114,Comment
CMT_0115,-2,2,CMT_0115,Comment
CMT_0116,-1,1,CMT_0116,Comment
CMT_0117,-2,0,CMT_0117,Comment
CMT_0118,-2,6,CMT_0118,Comment
CMT_0119,-2,16,CMT_0119,Comment
CMT_0120,0,0,CMT_0120,Comment
CMT_0121,1,14,CMT_0121,Comment
CMT_0122,-2,1,CMT_0122,Comment
CMT_0123,-2,82,CMT_0123,Comment
CMT_0124,-1,2,CMT_0124,Comment
CMT_0125,-3,32,CMT_0125,Comment
CMT_0126,-2,27,CMT_0126,Comment
CMT_0127,-2,0,CMT_0127,Comment
CMT_0128,-1,1,CMT_0128,Comment
CMT_0129,1,2,CMT_0129,Comment
CMT_0130,1,0,CMT_0130,Comment
CMT_0131,1,0,CMT_0131,Comment
CMT_0132,1,3,CMT_0132,Comment
CMT_0133,1,1,CMT_0133,Comment
CMT_0134,1,0,CMT_0134,Comment
CMT_0135,1,80,CMT_0135,Comment
CMT_0136,1,2,CMT_0136,Comment
CMT_0137,1,52,CMT_0137,Comment
CMT_0138,-2,11,CMT_0138,Comment
CMT_0139,1,2,CMT_0139,Comment
CMT_0140,1,3,CMT_0140,Comment
CMT_0141,-2,0,CMT_0141,Comment
CMT_0142,0,0,CMT_0142,Comment
CMT_0143,1,0,CMT_0143,Comment
CMT_0144,-2,2,CMT_0144,Comment
CMT_0145,1,2,CMT_0145,Comment
CMT_0146,-2,0,CMT_0146,Comment
CMT_0147,1,0,CMT_0147,Comment
CMT_0148,-1,2,CMT_0148,Comment
CMT_0149,1,6,CMT_0149,Comment
CMT_0150,0,0,CMT_0150,Comment
CMT_0151,-2,0,CMT_0151,Comment
CMT_0152,0,0,CMT_0152,Comment
CMT_0153,0,0,CMT_0153,Comment
CMT_0154,1,0,CMT_0154,Comment
CMT_0155,-1,0,CMT_0155,Comment
CMT_0156,-1,1,CMT_0156,Comment
CMT_0157,-2,15,CMT_0157,Comment
CMT_0158,0,1,CMT_0158,Comment
CMT_0159,-2,0,CMT_0159,Comment
CMT_0160,-2,0,CMT_0160,Comment
CMT_0161,0,1,CMT_0161,Comment
CMT_0162,-2,1,CMT_0162,Comment
CMT_0163,-2,0,CMT_0163,Comment
CMT_0164,1,0,CMT_0164,Comment
CMT_0165,-2,0,CMT_0165,Comment
CMT_0166,-2,0,CMT_0166,Comment
CMT_0167,-2,0,CMT_0167,Comment
CMT_0168,1,0,CMT_0168,Comment
CMT_0169,-2,0,CMT_0169,Comment
CMT_0170,-2,0,CMT_0170,Comment
CMT_0171,-2,0,CMT_0171,Comment
CMT_0172,-1,0,CMT_0172,Comment
CMT_0173,0,0,CMT_0173,Comment
CMT_0174,1,0,CMT_0174,Comment
CMT_0175,-2,0,CMT_0175,Comment
CMT_0176,-2,0,CMT_0176,Comment
CMT_0177,-2,0,CMT_0177,Comment
CMT_0178,-2,0,CMT_0178,Comment
CMT_0179,0,0,CMT_0179,Comment
CMT_0180,-2,0,CMT_0180,Comment
CMT_0181,-2,0,CMT_0181,Comment
CMT_0182,0,0,CMT_0182,Comment
CMT_0183,0,0,CMT_0183,Comment
CMT_0184,0,2,CMT_0184,Comment
CMT_0185,1,4,CMT_0185,Comment
CMT_0186,0,0,CMT_0186,Comment
CMT_0187,-2,1,CMT_0187,Comment
CMT_0188,0,0,CMT_0188,Comment
CMT_0189,0,1,CMT_0189,Comment
CMT_0190,-1,0,CMT_0190,Comment
CMT_0191,-2,0,CMT_0191,Comment
CMT_0192,-2,1,CMT_0192,Comment
CMT_0193,0,0,CMT_0193,Comment
CMT_0194,-2,1,CMT_0194,Comment
CMT_0195,0,2,CMT_0195,Comment
CMT_0196,-2,0,CMT_0196,Comment
CMT_0197,-2,0,CMT_0197,Comment
CMT_0198,-2,0,CMT_0198,Comment
CMT_0199,1,1,CMT_0199,Comment
CMT_0200,-2,49,CMT_0200,Comment
CMT_0201,-2,2,CMT_0201,Comment
CMT_0202,-3,2,CMT_0202,Comment
CMT_0203,0,8,CMT_0203,Comment
CMT_0204,-2,0,CMT_0204,Comment
CMT_0205,-2,0,CMT_0205,Comment
CMT_0206,0,2,CMT_0206,Comment
CMT_0207,-2,3,CMT_0207,Comment
CMT_0208,-2,1,CMT_0208,Comment
CMT_0209,0,0,CMT_0209,Comment
CMT_0210,1,0,CMT_0210,Comment
CMT_0211,0,0,CMT_0211,Comment
CMT_0212,-3,9,CMT_0212,Comment
CMT_0213,0,0,CMT_0213,Comment
CMT_0214,-2,5,CMT_0214,Comment
CMT_0215,0,14,CMT_0215,Comment
CMT_0216,-2,0,CMT_0216,Comment
CMT_0217,-2,7,CMT_0217,Comment
CMT_0218,-2,0,CMT_0218,Comment
CMT_0219,-1,0,CMT_0219,Comment
CMT_0220,-2,0,CMT_0220,Comment
CMT_0221,-2,0,CMT_0221,Comment
CMT_0222,-1,6,CMT_0222,Comment
CMT_0223,-2,0,CMT_0223,Comment
CMT_0224,-2,0,CMT_0224,Comment
CMT_0225,-2,0,CMT_0225,Comment
CMT_0226,-2,0,CMT_0226,Comment
CMT_0227,-3,4,CMT_0227,Comment
CMT_0228,-2,0,CMT_0228,Comment
CMT_0229,1,0,CMT_0229,Comment
CMT_0230,-2,0,CMT_0230,Comment
CMT_0231,-2,0,CMT_0231,Comment
CMT_0232,0,0,CMT_0232,Comment
CMT_0233,-2,0,CMT_0233,Comment
CMT_0234,-1,0,CMT_0234,Comment
CMT_0235,-2,107,CMT_0235,Comment
CMT_0236,-2,3,CMT_0236,Comment
CMT_0237,-1,4,CMT_0237,Comment
CMT_0238,0,0,CMT_0238,Comment
CMT_0239,-1,0,CMT_0239,Comment
CMT_0240,-2,0,CMT_0240,Comment
CMT_0241,-1,1,CMT_0241,Comment
CMT_0242,-2,53,CMT_0242,Comment
CMT_0243,-2,5,CMT_0243,Comment
CMT_0244,-2,0,CMT_0244,Comment
CMT_0245,-1,1,CMT_0245,Comment
CMT_0246,-2,0,CMT_0246,Comment
CMT_0247,-2,0,CMT_0247,Comment
CMT_0248,1,0,CMT_0248,Comment
CMT_0249,-2,0,CMT_0249,Comment
CMT_0250,-1,0,CMT_0250,Comment
CMT_0251,-1,3,CMT_0251,Comment
CMT_0252,-2,0,CMT_0252,Comment
CMT_0253,0,4,CMT_0253,Comment
CMT_0254,-3,2,CMT_0254,Comment
CMT_0255,0,5,CMT_0255,Comment
CMT_0256,-2,0,CMT_0256,Comment
CMT_0257,-2,0,CMT_0257,Comment
CMT_0258,-2,13,CMT_0258,Comment
CMT_0259,-2,0,CMT_0259,Comment
CMT_0260,0,16,CMT_0260,Comment
CMT_0261,0,3,CMT_0261,Comment
CMT_0262,0,0,CMT_0262,Comment
CMT_0263,0,1,CMT_0263,Comment
CMT_0264,-2,0,CMT_0264,Comment
CMT_0265,-1,0,CMT_0265,Comment
CMT_0266,-1,2,CMT_0266,Comment
CMT_0267,-2,3,CMT_0267,Comment
CMT_0268,-2,0,CMT_0268,Comment
CMT_0269,0,0,CMT_0269,Comment
CMT_0270,0,0,CMT_0270,Comment
CMT_0271,-2,3,CMT_0271,Comment
CMT_0272,-2,0,CMT_0272,Comment
CMT_0273,1,1,CMT_0273,Comment
CMT_0274,0,0,CMT_0274,Comment
CMT_0275,-2,2,CMT_0275,Comment
CMT_0276,-2,0,CMT_0276,Comment
CMT_0277,0,0,CMT_0277,Comment
CMT_0278,0,0,CMT_0278,Comment
CMT_0279,-1,0,CMT_0279,Comment
CMT_0280,0,1,CMT_0280,Comment
CMT_0281,0,0,CMT_0281,Comment
CMT_0282,0,0,CMT_0282,Comment
CMT_0283,0,0,CMT_0283,Comment
CMT_0284,-2,1,CMT_0284,Comment
CMT_0285,0,1,CMT_0285,Comment
CMT_0286,-2,0,CMT_0286,Comment
CMT_0287,-1,3,CMT_0287,Comment
CMT_0288,-2,0,CMT_0288,Comment
CMT_0289,1,0,CMT_0289,Comment
CMT_0290,1,4,CMT_0290,Comment
CMT_0291,1,0,CMT_0291,Comment
CMT_0292,0,0,CMT_0292,Comment
CMT_0293,-2,0,CMT_0293,Comment
CMT_0294,-2,0,CMT_0294,Comment
CMT_0295,-2,0,CMT_0295,Comment
CMT_0296,0,1,CMT_0296,Comment
CMT_0297,-1,0,CMT_0297,Comment
CMT_0298,0,1,CMT_0298,Comment
CMT_0299,0,0,CMT_0299,Comment
CMT_0300,0,0,CMT_0300,Comment
CMT_0301,-1,0,CMT_0301,Comment
CMT_0302,0,0,CMT_0302,Comment
CMT_0303,-2,0,CMT_0303,Comment
CMT_0304,-2,0,CMT_0304,Comment
CMT_0305,-2,0,CMT_0305,Comment
CMT_0306,0,0,CMT_0306,Comment
CMT_0307,0,2,CMT_0307,Comment
CMT_0308,1,0,CMT_0308,Comment
CMT_0309,-3,0,CMT_0309,Comment
CMT_0310,-2,8,CMT_0310,Comment
CMT_0311,0,0,CMT_0311,Comment
CMT_0312,-2,0,CMT_0312,Comment
CMT_0313,0,0,CMT_0313,Comment
CMT_0314,0,0,CMT_0314,Comment
CMT_0315,-2,0,CMT_0315,Comment
CMT_0316,-2,0,CMT_0316,Comment
CMT_0317,-2,3,CMT_0317,Comment
CMT_0318,-2,1,CMT_0318,Comment
CMT_0319,-2,1,CMT_0319,Comment
CMT_0320,0,1,CMT_0320,Comment
CMT_0321,1,0,CMT_0321,Comment
CMT_0322,-2,0,CMT_0322,Comment
CMT_0323,-1,0,CMT_0323,Comment
CMT_0324,-2,0,CMT_0324,Comment
CMT_0325,0,0,CMT_0325,Comment
CMT_0326,0,2,CMT_0326,Comment
CMT_0327,-2,0,CMT_0327,Comment
CMT_0328,-2,0,CMT_0328,Comment
CMT_0329,-2,2,CMT_0329,Comment
CMT_0330,-2,1,CMT_0330,Comment
CMT_0331,-2,0,CMT_0331,Comment
CMT_0332,0,9,CMT_0332,Comment
CMT_0333,-2,0,CMT_0333,Comment
CMT_0334,-2,20,CMT_0334,Comment
CMT_0335,0,0,CMT_0335,Comment
CMT_0336,-1,10,CMT_0336,Comment
CMT_0337,0,0,CMT_0337,Comment
CMT_0338,-1,0,CMT_0338,Comment
CMT_0339,-2,2,CMT_0339,Comment
CMT_0340,0,0,CMT_0340,Comment
CMT_0341,-1,5,CMT_0341,Comment
CMT_0342,-3,1,CMT_0342,Comment
CMT_0343,-2,0,CMT_0343,Comment
CMT_0344,-2,0,CMT_0344,Comment
CMT_0345,-2,3,CMT_0345,Comment
CMT_0346,1,1,CMT_0346,Comment
CMT_0347,-2,0,CMT_0347,Comment
CMT_0348,1,6,CMT_0348,Comment
CMT_0349,-2,19,CMT_0349,Comment
CMT_0350,-2,20,CMT_0350,Comment
CMT_0351,-2,0,CMT_0351,Comment
CMT_0352,-1,7,CMT_0352,Comment
CMT_0353,0,1,CMT_0353,Comment
CMT_0354,1,0,CMT_0354,Comment
CMT_0355,0,0,CMT_0355,Comment
CMT_0356,-1,178,CMT_0356,Comment
CMT_0357,-1,11,CMT_0357,Comment
CMT_0358,-2,0,CMT_0358,Comment
CMT_0359,0,0,CMT_0359,Comment
CMT_0360,-2,0,CMT_0360,Comment
CMT_0361,-2,12,CMT_0361,Comment
CMT_0362,-2,52,CMT_0362,Comment
CMT_0363,-2,102,CMT_0363,Comment
CMT_0364,0,18,CMT_0364,Comment
CMT_0365,-2,11,CMT_0365,Comment
CMT_0366,0,0,CMT_0366,Comment
CMT_0367,-2,2,CMT_0367,Comment
CMT_0368,0,6,CMT_0368,Comment
CMT_0369,-3,2,CMT_0369,Comment
CMT_0370,-2,10,CMT_0370,Comment
CMT_0371,-2,167,CMT_0371,Comment
CMT_0372,-2,140,CMT_0372,Comment
CMT_0373,-2,269,CMT_0373,Comment
CMT_0374,0,2,CMT_0374,Comment
CMT_0375,-2,0,CMT_0375,Comment
CMT_0376,-2,7,CMT_0376,Comment
CMT_0377,-2,0,CMT_0377,Comment
CMT_0378,0,56,CMT_0378,Comment
CMT_0379,0,961,CMT_0379,Comment
CMT_0380,-1,0,CMT_0380,Comment
CMT_0381,-2,0,CMT_0381,Comment
CMT_0382,-1,0,CMT_0382,Comment
CMT_0383,-2,0,CMT_0383,Comment
CMT_0384,-1,0,CMT_0384,Comment
CMT_0385,0,0,CMT_0385,Comment
CMT_0386,-2,0,CMT_0386,Comment
CMT_0387,-2,1,CMT_0387,Comment
CMT_0388,-1,1,CMT_0388,Comment
CMT_0389,-1,0,CMT_0389,Comment
CMT_0390,1,0,CMT_0390,Comment
CMT_0391,-2,0,CMT_0391,Comment
CMT_0392,-2,0,CMT_0392,Comment
CMT_0393,1,0,CMT_0393,Comment
CMT_0394,-2,0,CMT_0394,Comment
CMT_0395,-1,0,CMT_0395,Comment
CMT_0396,-1,0,CMT_0396,Comment
CMT_0397,-2,0,CMT_0397,Comment
CMT_0398,-1,0,CMT_0398,Comment
CMT_0399,-2,0,CMT_0399,Comment
CMT_0400,-2,0,CMT_0400,Comment
CMT_0401,-3,1,CMT_0401,Comment
CMT_0402,-2,0,CMT_0402,Comment
CMT_0403,-2,0,CMT_0403,Comment
CMT_0404,1,0,CMT_0404,Comment
CMT_0405,-2,0,CMT_0405,Comment
CMT_0406,-2,0,CMT_0406,Comment
CMT_0407,1,1,CMT_0407,Comment
CMT_0408,-3,4,CMT_0408,Comment
CMT_0409,-2,0,CMT_0409,Comment
CMT_0410,-2,0,CMT_0410,Comment
CMT_0411,-2,2,CMT_0411,Comment
CMT_0412,0,0,CMT_0412,Comment
CMT_0413,-1,0,CMT_0413,Comment
CMT_0414,0,1,CMT_0414,Comment
CMT_0415,-3,0,CMT_0415,Comment
CMT_0416,0,0,CMT_0416,Comment
CMT_0417,-2,1,CMT_0417,Comment
CMT_0418,-2,1,CMT_0418,Comment
CMT_0419,-3,0,CMT_0419,Comment
CMT_0420,-2,0,CMT_0420,Comment
CMT_0421,1,0,CMT_0421,Comment
CMT_0422,1,0,CMT_0422,Comment
CMT_0423,-2,0,CMT_0423,Comment
CMT_0424,-1,0,CMT_0424,Comment
CMT_0425,0,1,CMT_0425,Comment
CMT_0425,0,0,CMT_0425,Comment
CMT_0426,-1,1,CMT_0426,Comment
CMT_0426,-1,0,CMT_0426,Comment
CMT_0427,0,0,CMT_0427,Comment
CMT_0428,-2,0,CMT_0428,Comment
CMT_0429,-2,0,CMT_0429,Comment
CMT_0430,-2,0,CMT_0430,Comment
CMT_0431,-1,1,CMT_0431,Comment
CMT_0432,-1,3,CMT_0432,Comment
CMT_0433,-1,0,CMT_0433,Comment
CMT_0434,-1,0,CMT_0434,Comment
CMT_0435,-1,0,CMT_0435,Comment
CMT_0436,-1,0,CMT_0436,Comment
CMT_0437,-1,0,CMT_0437,Comment
CMT_0438,-2,0,CMT_0438,Comment
CMT_0439,-3,0,CMT_0439,Comment
CMT_0440,-2,18,CMT_0440,Comment
CMT_0441,-2,2,CMT_0441,Comment
CMT_0442,-1,0,CMT_0442,Comment
CMT_0443,-2,0,CMT_0443,Comment
CMT_0444,1,15,CMT_0444,Comment
CMT_0445,-2,0,CMT_0445,Comment
CMT_0446,-1,1,CMT_0446,Comment
CMT_0447,-2,0,CMT_0447,Comment
CMT_0448,-1,1,CMT_0448,Comment
CMT_0449,-1,3,CMT_0449,Comment
CMT_0450,-2,0,CMT_0450,Comment
CMT_0451,-2,0,CMT_0451,Comment
CMT_0452,-1,0,CMT_0452,Comment
CMT_0453,-2,1,CMT_0453,Comment
CMT_0454,-2,0,CMT_0454,Comment
CMT_0455,-2,15,CMT_0455,Comment
CMT_0456,-2,0,CMT_0456,Comment
CMT_0457,-2,1,CMT_0457,Comment
CMT_0458,-2,0,CMT_0458,Comment
CMT_0459,-2,2,CMT_0459,Comment
CMT_0460,1,13,CMT_0460,Comment
CMT_0461,-2,2,CMT_0461,Comment
CMT_0462,-2,0,CMT_0462,Comment
CMT_0463,-2,1,CMT_0463,Comment
CMT_0464,-2,0,CMT_0464,Comment
CMT_0465,-1,0,CMT_0465,Comment
CMT_0466,-1,1,CMT_0466,Comment
CMT_0467,-2,1,CMT_0467,Comment
CMT_0468,1,0,CMT_0468,Comment
CMT_0469,-2,4,CMT_0469,Comment
CMT_0470,-1,2,CMT_0470,Comment
CMT_0471,-1,2,CMT_0471,Comment
CMT_0472,-2,4,CMT_0472,Comment
CMT_0473,-2,2,CMT_0473,Comment
CMT_0474,-1,3,CMT_0474,Comment
CMT_0475,-2,9,CMT_0475,Comment
CMT_0476,-1,0,CMT_0476,Comment
CMT_0477,-1,139,CMT_0477,Comment
CMT_0478,-1,2,CMT_0478,Comment
CMT_0479,1,97,CMT_0479,Comment
CMT_0480,-2,0,CMT_0480,Comment
CMT_0481,1,5,CMT_0481,Comment
CMT_0482,-2,0,CMT_0482,Comment
CMT_0483,-2,4,CMT_0483,Comment
CMT_0484,0,0,CMT_0484,Comment
CMT_0485,-1,5,CMT_0485,Comment
CMT_0486,-2,0,CMT_0486,Comment
CMT_0487,-2,2,CMT_0487,Comment
CMT_0488,-1,4,CMT_0488,Comment
CMT_0489,-2,0,CMT_0489,Comment
CMT_0490,-2,1,CMT_0490,Comment
CMT_0491,-3,5,CMT_0491,Comment
CMT_0492,-2,3,CMT_0492,Comment
CMT_0493,-3,0,CMT_0493,Comment
CMT_0494,-2,1,CMT_0494,Comment
CMT_0495,-3,5,CMT_0495,Comment
CMT_0496,1,0,CMT_0496,Comment
CMT_0497,-2,194,CMT_0497,Comment
CMT_0498,-2,0,CMT_0498,Comment
CMT_0499,0,4,CMT_0499,Comment
CMT_0500,-2,3,CMT_0500,Comment
CMT_0501,0,5,CMT_0501,Comment
CMT_0502,-2,0,CMT_0502,Comment
CMT_0503,-1,0,CMT_0503,Comment
CMT_0504,-2,0,CMT_0504,Comment
CMT_0505,-2,0,CMT_0505,Comment
CMT_0506,-2,1,CMT_0506,Comment
CMT_0507,1,0,CMT_0507,Comment
CMT_0508,-2,2,CMT_0508,Comment
CMT_0509,0,1,CMT_0509,Comment
CMT_0510,-2,2,CMT_0510,Comment
CMT_0511,1,8,CMT_0511,Comment
CMT_0512,-2,21,CMT_0512,Comment
CMT_0513,1,2,CMT_0513,Comment
CMT_0514,-2,3,CMT_0514,Comment
CMT_0515,-2,2,CMT_0515,Comment
CMT_0516,-2,1,CMT_0516,Comment
CMT_0517,-1,7,CMT_0517,Comment
CMT_0518,1,0,CMT_0518,Comment
CMT_0519,-2,1,CMT_0519,Comment
CMT_0520,1,0,CMT_0520,Comment
CMT_0521,-2,0,CMT_0521,Comment
CMT_0522,-2,2,CMT_0522,Comment
CMT_0523,-2,0,CMT_0523,Comment
CMT_0524,1,3,CMT_0524,Comment
CMT_0525,-2,2,CMT_0525,Comment
CMT_0526,-2,0,CMT_0526,Comment
CMT_0527,1,0,CMT_0527,Comment
CMT_0528,-2,0,CMT_0528,Comment
CMT_0529,-2,0,CMT_0529,Comment
CMT_0530,-2,0,CMT_0530,Comment
CMT_0531,-2,2,CMT_0531,Comment
CMT_0532,1,0,CMT_0532,Comment
CMT_0533,-2,0,CMT_0533,Comment
CMT_0534,-1,0,CMT_0534,Comment
CMT_0535,-2,0,CMT_0535,Comment
CMT_0536,1,0,CMT_0536,Comment
CMT_0537,1,0,CMT_0537,Comment
CMT_0538,1,0,CMT_0538,Comment
CMT_0539,1,0,CMT_0539,Comment
CMT_0540,0,0,CMT_0540,Comment
CMT_0541,1,0,CMT_0541,Comment
CMT_0542,-2,0,CMT_0542,Comment
CMT_0543,-2,0,CMT_0543,Comment
CMT_0544,0,3,CMT_0544,Comment
CMT_0545,0,0,CMT_0545,Comment
CMT_0546,0,5,CMT_0546,Comment
CMT_0547,1,0,CMT_0547,Comment
CMT_0548,-1,3901,CMT_0548,Comment
CMT_0549,-2,0,CMT_0549,Comment
CMT_0550,-2,1,CMT_0550,Comment
CMT_0551,-1,0,CMT_0551,Comment
CMT_0552,-2,0,CMT_0552,Comment
CMT_0553,1,1,CMT_0553,Comment
CMT_0554,-1,1,CMT_0554,Comment
CMT_0555,-2,5,CMT_0555,Comment
CMT_0556,1,4,CMT_0556,Comment
CMT_0557,1,1,CMT_0557,Comment
CMT_0558,1,11,CMT_0558,Comment
CMT_0559,1,2,CMT_0559,Comment
CMT_0560,1,1,CMT_0560,Comment
CMT_0561,1,1,CMT_0561,Comment
CMT_0562,1,0,CMT_0562,Comment
CMT_0563,-2,0,CMT_0563,Comment
CMT_0564,1,0,CMT_0564,Comment
CMT_0565,1,0,CMT_0565,Comment
CMT_0566,-2,0,CMT_0566,Comment
CMT_0567,-1,0,CMT_0567,Comment
CMT_0568,-1,0,CMT_0568,Comment
CMT_0569,1,0,CMT_0569,Comment
CMT_0570,-2,0,CMT_0570,Comment
CMT_0571,-2,0,CMT_0571,Comment
CMT_0572,1,2,CMT_0572,Comment
CMT_0573,-2,2,CMT_0573,Comment
CMT_0574,-2,1,CMT_0574,Comment
CMT_0575,-2,2,CMT_0575,Comment
CMT_0576,-1,0,CMT_0576,Comment
CMT_0577,-1,0,CMT_0577,Comment
CMT_0578,-1,0,CMT_0578,Comment
CMT_0579,1,0,CMT_0579,Comment
CMT_0580,-2,4,CMT_0580,Comment
CMT_0581,1,0,CMT_0581,Comment
CMT_0582,-1,0,CMT_0582,Comment
CMT_0583,1,7,CMT_0583,Comment
CMT_0584,-2,0,CMT_0584,Comment
CMT_0585,-2,7,CMT_0585,Comment
CMT_0586,0,0,CMT_0586,Comment
CMT_0587,-2,2,CMT_0587,Comment
CMT_0588,-2,0,CMT_0588,Comment
CMT_0589,-2,414,CMT_0589,Comment
CMT_0590,1,0,CMT_0590,Comment
CMT_0591,-2,2,CMT_0591,Comment
CMT_0592,-1,0,CMT_0592,Comment
CMT_0593,-2,6,CMT_0593,Comment
CMT_0594,1,2,CMT_0594,Comment
CMT_0595,-1,0,CMT_0595,Comment
CMT_0596,-1,0,CMT_0596,Comment
CMT_0597,0,0,CMT_0597,Comment
CMT_0598,-1,0,CMT_0598,Comment
CMT_0599,0,0,CMT_0599,Comment
CMT_0600,1,0,CMT_0600,Comment
CMT_0601,1,6,CMT_0601,Comment
CMT_0602,-1,3,CMT_0602,Comment
CMT_0603,0,2,CMT_0603,Comment
CMT_0604,1,1,CMT_0604,Comment
CMT_0605,1,603,CMT_0605,Comment
CMT_0606,-2,8,CMT_0606,Comment
CMT_0607,-1,0,CMT_0607,Comment
CMT_0608,-1,0,CMT_0608,Comment
CMT_0609,-1,0,CMT_0609,Comment
CMT_0610,1,71,CMT_0610,Comment
CMT_0611,-2,0,CMT_0611,Comment
CMT_0612,1,116,CMT_0612,Comment
CMT_0613,-2,12,CMT_0613,Comment
